,lat,lon,forestcoverfraction,year_month,count,sum_frp
0,26.75,88.25,24,2001-02,1,18.2
1,26.75,88.25,24,2001-03,1,43.0
2,26.75,88.25,24,2003-01,1,23.5
3,26.75,88.25,24,2003-03,1,28.2
4,26.75,88.25,24,2006-02,1,39.9
5,26.75,88.25,24,2006-03,2,55.3
6,26.75,88.25,24,2009-01,1,14.9
7,26.75,88.25,24,2009-03,4,91.3
8,26.75,88.25,24,2010-01,2,58.8
9,26.75,88.25,24,2010-02,2,43.7
10,26.75,88.25,24,2010-03,4,304.4
11,26.75,88.25,24,2011-03,1,17.6
12,26.75,88.25,24,2012-03,3,91.9
13,26.75,88.25,24,2013-04,1,39.3
14,26.75,88.25,24,2014-03,2,36.0
15,26.75,88.25,24,2014-04,1,9.7
16,26.75,88.25,24,2015-03,1,18.2
17,26.75,88.25,24,2016-01,1,14.9
18,26.75,88.25,24,2017-01,2,32.3
19,26.75,88.25,24,2017-02,1,35.1
20,26.75,88.25,24,2019-03,1,14.2
21,26.75,88.25,24,2020-04,1,54.5
22,26.75,88.25,24,2021-03,3,80.6
23,26.75,88.25,24,2022-03,3,50.5
24,26.75,88.25,24,2023-03,5,121.4
25,26.75,88.25,24,2024-03,1,19.2
26,26.75,88.25,24,2024-04,1,62.3
27,27.25,88.25,45,2002-01,1,15.1
28,27.25,88.25,45,2003-04,1,18.0
29,27.25,88.25,45,2004-03,1,25.7
30,27.25,88.25,45,2005-02,1,31.3
31,27.25,88.25,45,2006-01,2,315.1
32,27.25,88.25,45,2006-03,3,99.0
33,27.25,88.25,45,2006-04,3,129.5
34,27.25,88.25,45,2008-03,3,166.0
35,27.25,88.25,45,2009-03,2,40.1
36,27.25,88.25,45,2010-03,2,97.1
37,27.25,88.25,45,2011-03,4,86.6
38,27.25,88.25,45,2011-04,1,31.4
39,27.25,88.25,45,2012-03,2,35.6
40,27.25,88.25,45,2012-04,1,23.4
41,27.25,88.25,45,2014-04,5,110.3
42,27.25,88.25,45,2016-04,1,13.3
43,27.25,88.25,45,2017-02,1,41.0
44,27.25,88.25,45,2017-03,3,302.0
45,27.25,88.25,45,2018-04,1,13.8
46,27.25,88.25,45,2019-03,1,66.3
47,27.25,88.25,45,2021-03,1,12.7
48,27.25,88.25,45,2021-04,1,96.8
49,27.25,88.25,45,2022-12,1,24.0
50,27.25,88.25,45,2023-04,2,63.0
51,27.25,88.25,45,2023-05,1,50.4
52,27.25,88.25,45,2024-03,3,48.6
53,26.75,88.75,20,2004-02,2,47.4
54,26.75,88.75,20,2006-01,1,15.6
55,26.75,88.75,20,2008-02,1,62.1
56,26.75,88.75,20,2009-03,4,122.8
57,26.75,88.75,20,2010-02,1,26.4
58,26.75,88.75,20,2010-03,2,49.8
59,26.75,88.75,20,2011-01,1,28.6
60,26.75,88.75,20,2011-02,1,17.0
61,26.75,88.75,20,2011-03,1,33.2
