,lon,lat,forestcoverfraction
0,68.25,6.25,
1,68.25,6.75,
2,68.25,7.25,
3,68.25,7.75,
4,68.25,8.25,
5,68.25,8.75,
6,68.25,9.25,
7,68.25,9.75,
8,68.25,10.25,
9,68.25,10.75,
10,68.25,11.25,
11,68.25,11.75,
12,68.25,12.25,
13,68.25,12.75,
14,68.25,13.25,
15,68.25,13.75,
16,68.25,14.25,
17,68.25,14.75,
18,68.25,15.25,
19,68.25,15.75,
20,68.25,16.25,
21,68.25,16.75,
22,68.25,17.25,
23,68.25,17.75,
24,68.25,18.25,
25,68.25,18.75,
26,68.25,19.25,
27,68.25,19.75,
28,68.25,20.25,
29,68.25,20.75,
30,68.25,21.25,
31,68.25,21.75,
32,68.25,22.25,
33,68.25,22.75,
34,68.25,23.25,
35,68.25,23.75,2.0
36,68.25,24.25,2.0
37,68.25,24.75,5.0
38,68.25,25.25,2.0
39,68.25,25.75,1.0
40,68.25,26.25,4.0
41,68.25,26.75,4.0
42,68.25,27.25,3.0
43,68.25,27.75,5.0
44,68.25,28.25,4.0
45,68.25,28.75,1.0
46,68.25,29.25,0.0
47,68.25,29.75,0.0
48,68.25,30.25,0.0
49,68.25,30.75,0.0
50,68.25,31.25,0.0
51,68.25,31.75,0.0
52,68.25,32.25,0.0
53,68.25,32.75,0.0
54,68.25,33.25,0.0
55,68.25,33.75,0.0
56,68.25,34.25,0.0
57,68.25,34.75,1.0
58,68.25,35.25,1.0
59,68.25,35.75,0.0
60,68.25,36.25,0.0
61,68.75,6.25,
62,68.75,6.75,
63,68.75,7.25,
64,68.75,7.75,
65,68.75,8.25,
66,68.75,8.75,
67,68.75,9.25,
68,68.75,9.75,
69,68.75,10.25,
70,68.75,10.75,
71,68.75,11.25,
72,68.75,11.75,
73,68.75,12.25,
74,68.75,12.75,
75,68.75,13.25,
76,68.75,13.75,
77,68.75,14.25,
78,68.75,14.75,
79,68.75,15.25,
80,68.75,15.75,
81,68.75,16.25,
82,68.75,16.75,
83,68.75,17.25,
84,68.75,17.75,
85,68.75,18.25,
86,68.75,18.75,
87,68.75,19.25,
88,68.75,19.75,
89,68.75,20.25,
90,68.75,20.75,
91,68.75,21.25,
92,68.75,21.75,
93,68.75,22.25,2.0
94,68.75,22.75,
95,68.75,23.25,1.0
96,68.75,23.75,1.0
97,68.75,24.25,1.0
98,68.75,24.75,5.0
99,68.75,25.25,5.0
100,68.75,25.75,5.0
101,68.75,26.25,3.0
102,68.75,26.75,1.0
103,68.75,27.25,2.0
104,68.75,27.75,4.0
105,68.75,28.25,5.0
106,68.75,28.75,0.0
107,68.75,29.25,0.0
108,68.75,29.75,0.0
109,68.75,30.25,0.0
110,68.75,30.75,0.0
111,68.75,31.25,0.0
112,68.75,31.75,0.0
113,68.75,32.25,0.0
114,68.75,32.75,0.0
