,lat,lon
0,6.25,38.25
1,6.75,38.25
2,7.25,38.25
3,7.75,38.25
4,8.25,38.25
5,8.75,38.25
6,9.25,38.25
7,9.75,38.25
8,10.25,38.25
9,10.75,38.25
10,11.25,38.25
11,11.75,38.25
12,12.25,38.25
13,12.75,38.25
14,13.25,38.25
15,13.75,38.25
16,14.25,38.25
17,14.75,38.25
18,15.25,38.25
19,15.75,38.25
20,16.25,38.25
21,16.75,38.25
22,17.25,38.25
23,17.75,38.25
24,18.25,38.25
25,18.75,38.25
26,19.25,38.25
27,19.75,38.25
28,20.25,38.25
29,20.75,38.25
30,21.25,38.25
31,21.75,38.25
32,22.25,38.25
33,22.75,38.25
34,23.25,38.25
35,23.75,38.25
36,24.25,38.25
37,24.75,38.25
38,25.25,38.25
39,25.75,38.25
40,26.25,38.25
41,26.75,38.25
42,27.25,38.25
43,27.75,38.25
44,28.25,38.25
45,28.75,38.25
46,29.25,38.25
47,29.75,38.25
48,30.25,38.25
49,30.75,38.25
50,31.25,38.25
51,31.75,38.25
52,32.25,38.25
53,32.75,38.25
54,33.25,38.25
55,33.75,38.25
56,34.25,38.25
57,34.75,38.25
58,35.25,38.25
59,35.75,38.25
60,36.25,38.25
61,36.75,38.25
62,6.25,38.75
63,6.75,38.75
64,7.25,38.75
65,7.75,38.75
66,8.25,38.75
67,8.75,38.75
68,9.25,38.75
69,9.75,38.75
70,10.25,38.75
71,10.75,38.75
72,11.25,38.75
73,11.75,38.75
74,12.25,38.75
75,12.75,38.75
76,13.25,38.75
77,13.75,38.75
78,14.25,38.75
79,14.75,38.75
80,15.25,38.75
81,15.75,38.75
82,16.25,38.75
83,16.75,38.75
84,17.25,38.75
85,17.75,38.75
86,18.25,38.75
87,18.75,38.75
88,19.25,38.75
89,19.75,38.75
90,20.25,38.75
91,20.75,38.75
92,21.25,38.75
93,21.75,38.75
94,22.25,38.75
95,22.75,38.75
96,23.25,38.75
97,23.75,38.75
98,24.25,38.75
99,24.75,38.75
100,25.25,38.75
101,25.75,38.75
102,26.25,38.75
103,26.75,38.75
104,27.25,38.75
105,27.75,38.75
106,28.25,38.75
107,28.75,38.75
108,29.25,38.75
109,29.75,38.75
110,30.25,38.75
111,30.75,38.75
112,31.25,38.75
113,31.75,38.75
114,32.25,38.75
115,32.75,38.75
116,33.25,38.75
117,33.75,38.75
118,34.25,38.75
119,34.75,38.75
120,35.25,38.75
121,35.75,38.75
122,36.25,38.75
123,36.75,38.75
124,6.25,39.25
125,6.75,39.25
126,7.25,39.25
127,7.75,39.25
128,8.25,39.25
129,8.75,39.25
130,9.25,39.25
131,9.75,39.25
132,10.25,39.25
133,10.75,39.25
134,11.25,39.25
135,11.75,39.25
136,12.25,39.25
137,12.75,39.25
138,13.25,39.25
139,13.75,39.25
140,14.25,39.25
141,14.75,39.25
142,15.25,39.25
143,15.75,39.25
144,16.25,39.25
145,16.75,39.25
146,17.25,39.25
147,17.75,39.25
