field_1,lon,lat,forestcoverfraction
2481,88.25,26.75,24
2482,88.25,27.25,45
2542,88.75,26.75,20
2543,88.75,27.25,46
2544,88.75,27.75,17
2603,89.25,26.75,30
2604,89.25,27.25,59
2663,89.75,26.25,11
2664,89.75,26.75,46
2665,89.75,27.25,59
2666,89.75,27.75,42
2722,90.25,25.25,26
2723,90.25,25.75,29
2724,90.25,26.25,11
2725,90.25,26.75,44
2726,90.25,27.25,63
2727,90.25,27.75,33
2783,90.75,25.25,39
2784,90.75,25.75,30
2786,90.75,26.75,43
2787,90.75,27.25,68
2788,90.75,27.75,36
2840,91.25,23.25,15
2841,91.25,23.75,17
2842,91.25,24.25,12
2844,91.25,25.25,33
2845,91.25,25.75,36
2847,91.25,26.75,41
2848,91.25,27.25,61
2849,91.25,27.75,51
2901,91.75,23.25,36
2902,91.75,23.75,41
2903,91.75,24.25,25
2904,91.75,24.75,11
2905,91.75,25.25,34
2906,91.75,25.75,35
2907,91.75,26.25,21
2908,91.75,26.75,31
2909,91.75,27.25,53
2910,91.75,27.75,31
2960,92.25,22.25,40
2961,92.25,22.75,45
2962,92.25,23.25,52
2963,92.25,23.75,57
2964,92.25,24.25,40
2965,92.25,24.75,13
2966,92.25,25.25,36
2967,92.25,25.75,37
2968,92.25,26.25,21
2969,92.25,26.75,28
2970,92.25,27.25,59
2971,92.25,27.75,18
3021,92.75,22.25,58
3022,92.75,22.75,59
3023,92.75,23.25,61
3024,92.75,23.75,57
3025,92.75,24.25,61
3026,92.75,24.75,22
3027,92.75,25.25,54
3028,92.75,25.75,39
3029,92.75,26.25,22
3030,92.75,26.75,24
3031,92.75,27.25,70
3032,92.75,27.75,41
3082,93.25,22.25,49
3083,93.25,22.75,47
3084,93.25,23.25,49
3085,93.25,23.75,52
3086,93.25,24.25,65
3087,93.25,24.75,60
3088,93.25,25.25,59
3089,93.25,25.75,54
3090,93.25,26.25,51
3091,93.25,26.75,35
3092,93.25,27.25,71
3093,93.25,27.75,64
3094,93.25,28.25,43
3095,93.25,28.75,17
3147,93.75,24.25,41
3148,93.75,24.75,38
3149,93.75,25.25,53
3150,93.75,25.75,43
3151,93.75,26.25,47
3152,93.75,26.75,19
3153,93.75,27.25,60
3154,93.75,27.75,69
3155,93.75,28.25,63
3156,93.75,28.75,18
3208,94.25,24.25,49
3209,94.25,24.75,38
3210,94.25,25.25,37
3211,94.25,25.75,45
3212,94.25,26.25,46
3213,94.25,26.75,20
3214,94.25,27.25,21
3215,94.25,27.75,71
3216,94.25,28.25,68
3217,94.25,28.75,45
3218,94.25,29.25,25
3270,94.75,24.75,47
3271,94.75,25.25,58
3272,94.75,25.75,47
3273,94.75,26.25,48
3274,94.75,26.75,43
3275,94.75,27.25,13
3276,94.75,27.75,53
3277,94.75,28.25,71
3278,94.75,28.75,73
3279,94.75,29.25,28
3333,95.25,25.75,71
3334,95.25,26.25,57
3335,95.25,26.75,56
3336,95.25,27.25,28
3337,95.25,27.75,30
3338,95.25,28.25,70
3339,95.25,28.75,58
3340,95.25,29.25,54
3396,95.75,26.75,67
3397,95.75,27.25,61
3398,95.75,27.75,27
3399,95.75,28.25,59
3400,95.75,28.75,66
3401,95.75,29.25,29
3458,96.25,27.25,71
3459,96.25,27.75,62
3460,96.25,28.25,50
3461,96.25,28.75,30
3519,96.75,27.25,73
3520,96.75,27.75,61
3521,96.75,28.25,40
3522,96.75,28.75,20
3580,97.25,27.25,71
3581,97.25,27.75,62
3582,97.25,28.25,23
573,72.75,18.25,16
574,72.75,18.75,12
575,72.75,19.25,11
578,72.75,20.75,12
630,73.25,16.25,12
639,73.25,20.75,13
689,73.75,15.25,17
690,73.75,15.75,19
691,73.75,16.25,13
693,73.75,17.25,11
694,73.75,17.75,12
748,74.25,14.25,18
749,74.25,14.75,43
750,74.25,15.25,32
751,74.25,15.75,18
753,74.25,16.75,11
757,74.25,18.75,11
759,74.25,19.75,11
760,74.25,20.25,11
806,74.75,12.75,16
807,74.75,13.25,14
808,74.75,13.75,30
809,74.75,14.25,30
810,74.75,14.75,30
811,74.75,15.25,20
814,74.75,16.75,13
820,74.75,19.75,11
865,75.25,11.75,37
866,75.25,12.25,37
867,75.25,12.75,24
868,75.25,13.25,34
869,75.25,13.75,22
877,75.25,17.75,11
878,75.25,18.25,12
880,75.25,19.25,11
924,75.75,10.75,42
925,75.75,11.25,43
926,75.75,11.75,45
927,75.75,12.25,40
928,75.75,12.75,36
929,75.75,13.25,22
930,75.75,13.75,13
939,75.75,18.25,11
940,75.75,18.75,11
941,75.75,19.25,13
942,75.75,19.75,11
982,76.25,9.25,30
983,76.25,9.75,31
984,76.25,10.25,30
985,76.25,10.75,33
986,76.25,11.25,51
987,76.25,11.75,31
988,76.25,12.25,12
1000,76.25,18.25,12
1001,76.25,18.75,12
1002,76.25,19.25,14
1003,76.25,19.75,11
1004,76.25,20.25,11
1041,76.75,8.25,42
1042,76.75,8.75,31
1043,76.75,9.25,34
1044,76.75,9.75,43
1045,76.75,10.25,50
1046,76.75,10.75,23
1047,76.75,11.25,32
1048,76.75,11.75,13
1061,76.75,18.25,14
1062,76.75,18.75,12
1063,76.75,19.25,15
1064,76.75,19.75,11
1102,77.25,8.25,38
1103,77.25,8.75,43
1104,77.25,9.25,47
1105,77.25,9.75,35
1106,77.25,10.25,36
1109,77.25,11.75,25
1121,77.25,17.75,11
1122,77.25,18.25,12
1123,77.25,18.75,11
1124,77.25,19.25,16
1128,77.25,21.25,11
1167,77.75,10.25,19
1170,77.75,11.75,15
1171,77.75,12.25,17
1182,77.75,17.75,11
1184,77.75,18.75,12
1185,77.75,19.25,11
1228,78.25,10.25,11
1230,78.25,11.25,12
1231,78.25,11.75,18
1252,78.25,22.25,14
1253,78.25,22.75,12
1291,78.75,11.25,13
1292,78.75,11.75,18
1293,78.75,12.25,16
1294,78.75,12.75,16
1299,78.75,15.25,15
1300,78.75,15.75,19
1301,78.75,16.25,13
1351,79.25,10.75,11
1357,79.25,13.75,17
1358,79.25,14.25,13
1368,79.25,19.25,11
1369,79.25,19.75,11
1370,79.25,20.25,15
1373,79.25,21.75,12
1374,79.25,22.25,11
1412,79.75,10.75,11
1413,79.75,11.25,11
1429,79.75,19.25,13
1430,79.75,19.75,13
1431,79.75,20.25,12
1434,79.75,21.75,11
1435,79.75,22.25,12
1436,79.75,22.75,11
1484,80.25,16.25,11
1485,80.25,16.75,12
1486,80.25,17.25,11
1487,80.25,17.75,16
1488,80.25,18.25,23
1489,80.25,18.75,22
